Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
Neverita,Un Verano Sin Ti,Bad Bunny,QM6MZ2214882,1139,44.6,831868563.0,93211.0,21780286.0,73.0,181498962.0,1237772.0,"115,200","87,502,749","985,066,343","21,690,461",36.0,30945.0,12.0,"806,258",5.0,"23,282,331","5,780",1247731.0,0,2022,5
Infinity,Feel Something,Jaymes Young,USAT21700859,1138,44.6,1059940209.0,169454.0,48961048.0,74.0,569314714.0,6558074.0,"5,441,674","1,889,279,204","22,241,102,823","464,030,450",15.0,191784.0,46.0,"991,994",6.0,"54,462,943","18,444",8764483.0,0,2017,6
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,USUG12303876,1142,44.5,812954133.0,137681.0,53947304.0,81.0,66369681.0,851906.0,"564,129","71,837,599","797,041,217","504,465,645",147.0,78013.0,43.0,"1,369,406",47.0,"2,985,202","7,888",6377668.0,1,2021,2
adore u,adore u,Fred again..,GBAHS2300908,1141,44.5,129427492.0,44672.0,48826452.0,71.0,10933079.0,80021.0,"29,740","8,528,307","135,983,684","82,845,102",69.0,43488.0,34.0,"206,415",46.0,"801,851",219,663446.0,0,2023,8
Numb Little Bug,Numb Little Bug,Em Beihold,USUM72200626,1143,44.5,360584207.0,68868.0,18801509.0,66.0,41254765.0,1015183.0,"177,123","69,378,146","667,895,022","8,474,222",34.0,350811.0,19.0,"22,388",37.0,"73,893,449","39,102",2132903.0,0,2022,1
Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,USUM72401132,1140,44.5,110377644.0,8980.0,78939536.0,,10803398.0,190363.0,,"554,400","4,211,900","21,866,966",41.0,6146.0,54.0,"6,402,152",55.0,"658,798",745,363083.0,0,2024,3
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,USUG11901580,1144,44.4,822696809.0,141261.0,26970098.0,68.0,587804570.0,5432716.0,"806,169","35,719,393","404,031,807","532,691,572",184.0,98937.0,117.0,"1,507,919",27.0,"131,125,635","26,028",6782620.0,0,2019,6
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,BX5EU2300034,1145,44.4,222879686.0,26854.0,23489333.0,68.0,183254308.0,938331.0,"80,100","22,478,680","315,723,211","23,002,967",16.0,1586.0,31.0,"3,017,351",19.0,"2,970",8,130095.0,1,2023,7
Suicidal,Melly vs. Melvin,YNW Melly,QMCE31902585,1146,44.4,572441305.0,113061.0,13801176.0,67.0,317626075.0,4533617.0,"4,475,534","218,106,950","1,659,032,393","7,772,461",20.0,2061.0,4.0,"71,838",4.0,"25,773,932","131,617",2287665.0,1,2019,11
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,INS181900313,1149,44.3,72849488.0,9804.0,2252266.0,54.0,329389939.0,2348757.0,"11,600,000","10,188,221","246,534,268","93,651,376",13.0,646.0,,,3.0,,,215757.0,0,2019,2
Sky,Whole Lotta Red,Playboi Carti,USUM72024699,1147,44.3,710319373.0,209136.0,30701216.0,74.0,183959519.0,2671075.0,"154,135","62,458,934","363,975,031","280,367,116",31.0,1582.0,10.0,"187,089",14.0,"2,766,036","16,909",1537393.0,1,2020,12
Love On,Love On,Selena Gomez,USUM72318034,1148,44.3,45878045.0,3731.0,26039293.0,,18082083.0,515908.0,,,,"2,436,411,201",50.0,69439.0,58.0,"12,329,759",45.0,"3,662,491",523,350842.0,0,2024,2
Payphone,Overexposed Track By Track,Maroon 5,USUM71203347,1153,44.2,1828026153.0,249663.0,71678167.0,78.0,1051247406.0,7080472.0,"93,015","49,072,987","397,860,038","1,568,063,711",58.0,83578.0,112.0,"258,125",28.0,"667,632,597","1,019,888",11327684.0,1,2012,1
Brickell,MANIFESTING 20-05,Feid,USUG12402595,1150,44.2,59546208.0,5064.0,62237863.0,79.0,26823878.0,171145.0,,,,"28,104,439",32.0,2379.0,15.0,"3,085,319",14.0,"1,007,570",344,259017.0,1,2024,4
I Like Me Better,I Like Me Better,Lauv,GBWWP1702907,1152,44.2,1784308411.0,157818.0,34910721.0,75.0,837720618.0,7077307.0,"573,681","117,065,490","886,160,801","145,737,544",92.0,225675.0,34.0,"251,654",24.0,"334,762,962","97,867",7684583.0,0,2017,5
RUNAWAY,RUNAWAY,OneRepublic,USUM72304684,1154,44.2,127466467.0,16650.0,19684494.0,67.0,13668402.0,152488.0,"2,331","518,049","9,346,042","179,672,192",57.0,259287.0,43.0,"1,138,179",12.0,"19,337,777","2,084",1350255.0,0,2023,5
Que Se Cuide,Que Se Cuide,Luis R Conriquez,QZNJV2414655,1151,44.2,36145614.0,1566.0,48637114.0,77.0,26390813.0,239853.0,,,,"125,856,157",3.0,63.0,2.0,"1,556,280",,"1,069,762","1,047",178962.0,0,2024,5
