Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,QM24S2402528,1,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,"5,767,700","651,565,900","5,332,281,936","150,597,040",210.0,40975.0,62.0,"17,598,718",114.0,"18,004,655","22,931",2669262.0,0,2024,4
Not Like Us,Not Like Us,Kendrick Lamar,USUG12400910,2,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,"674,700","35,223,547","208,339,025","156,380,351",188.0,40778.0,67.0,"10,422,430",111.0,"7,780,028","28,444",1118279.0,1,2024,5
i like the way you kiss me,I like the way you kiss me,Artemas,QZJ842400387,3,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,"3,025,400","275,154,237","3,369,120,610","373,784,955",190.0,74333.0,136.0,"36,321,847",172.0,"5,022,621","5,639",5285340.0,0,2024,3
Flowers,Flowers - Single,Miley Cyrus,USSM12209777,4,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,"7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,1474799.0,264.0,"24,684,248",210.0,"190,260,277","203,384",11822942.0,0,2023,1
Houdini,Houdini,Eminem,USUG12403398,5,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,"16,400",,,"112,763,851",182.0,12185.0,82.0,"17,660,624",105.0,"4,493,884","7,006",457017.0,1,2024,5
Lovin On Me,Lovin On Me,Jack Harlow,USAT22311371,6,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,"4,202,367","214,943,489","2,938,686,633","2,867,222,632",138.0,522042.0,86.0,"17,167,254",152.0,"138,529,362","50,982",4517131.0,1,2023,11
Beautiful Things,Beautiful Things,Benson Boone,USWB12307016,7,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,,"29,584,940","534,915,313","4,601,579,812",280.0,383478.0,168.0,"48,197,850",154.0,"65,447,476","57,372",9990302.0,0,2024,1
Gata Only,Gata Only,FloyyMenor,QZL382406049,8,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,"3,500,000","338,546,668","3,804,584,163","2,112,581,620",160.0,17221.0,87.0,"33,245,595",53.0,"3,372,428","5,762",6063523.0,1,2024,2
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,USSM12404354,10,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,"325,800","121,574,500","974,656,200","174,706,874",191.0,3823.0,78.0,"10,800,098",92.0,"1,005,626",842,666302.0,1,2024,5
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,USUM72404990,11,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,,"184,500","2,100,000","327,130,768",157.0,62312.0,60.0,"12,009,073",114.0,"23,155,471","21,172",963413.0,1,2024,5
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,USUM72401991,13,316.3,221636195.0,13800.0,197280692.0,92.0,40022524.0,1307290.0,"195,300","45,889,000","360,017,000","342,107,131",244.0,41344.0,138.0,"38,243,636",163.0,"1,354,692","1,219",450344.0,0,2024,5
Like That,WE DON'T TRUST YOU,Future,USSM12402041,14,308.2,355186436.0,43025.0,108168634.0,88.0,98081493.0,1456177.0,,,,"174,491,415",153.0,90237.0,55.0,"3,001,826",109.0,"26,252,264","18,364",1963314.0,1,2024,3
LALA,LALA - Single,Myke Towers,USWL12300002,16,299.9,925655569.0,103605.0,79944921.0,79.0,934302031.0,4294166.0,"11,054,500","521,725,116","7,499,234,052","2,042,145,659",94.0,92231.0,60.0,"5,633,435",83.0,"12,171,026","13,242",2765808.0,1,2023,3
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,USUG12401028,17,297.6,395433400.0,12784.0,177932568.0,89.0,104673836.0,2484083.0,"139,300","25,348,800","207,317,000","268,893,710",221.0,129968.0,99.0,"37,988,531",134.0,"9,961,769","13,437",1210029.0,0,2024,4
greedy,greedy,Tate McRae,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,1514837.0,"2,294,429","419,319,161","5,456,156,211","2,667,285,437",207.0,667329.0,188.0,"21,788,568",150.0,"44,850,379","12,270",6973652.0,1,2023,9
BLUE,HIT ME HARD AND SOFT,Billie Eilish,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,569377.0,"941,900","119,740,900","1,225,345,800","5,839,168",76.0,181.0,24.0,"5,054,005",33.0,"283,089",162,257661.0,0,2024,5
As It Was,As It Was,Harry Styles,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,9101589.0,"2,755,903","1,633,970,617","15,405,881,843","7,289,707,052",455.0,1777811.0,330.0,"12,907,852",189.0,"132,624,772","79,909",14967379.0,0,2022,3
Paint The Town Red,Paint The Town Red,Doja Cat,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,2749668.0,"3,091,732","652,428,798","7,095,564,106","1,063,591,802",158.0,400899.0,143.0,"13,718,632",146.0,"70,291,476","49,111",7559816.0,1,2023,8
Espresso,Espresso,Sabrina Carpenter,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,1825761.0,"209,200","169,144,295","1,379,499,000","422,646,034",298.0,37208.0,167.0,"41,414,565",149.0,"10,362,898","10,848",1373085.0,1,2024,4
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,437980.0,"1,470,500","485,200,392","6,518,604,175","1,213,175,656",159.0,309497.0,194.0,"40,725,482",177.0,"13,860,535","36,282",2100708.0,1,2024,2
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,69990.0,"37,621,885","1,636,811,753","22,918,660,728",,1.0,,1.0,6,1.0,,,633525.0,0,2022,5
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,14661425.0,"7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",513.0,1510151.0,166.0,"5,783,693",128.0,"196,783,487","124,922",,1,2021,7
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,48757673.0,"7,743,800","281,762,094","6,577,639,193","2,166,611",33.0,284.0,19.0,"52,179",17.0,"86,458,847","2,234,137",2064420.0,0,2015,12
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,3080503.0,,,,"578,568,464",194.0,200230.0,117.0,"22,062,193",126.0,"10,106,573","7,689",1579980.0,0,2024,3
SHEESH,BABYMONS7ER,BABYMONSTER,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,4907193.0,"212,500","48,327,004","390,081,328","38,798,822",36.0,2188.0,3.0,"347,997",26.0,"130,743",592,191867.0,0,2024,4
Water,Water,Tyla,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,2566846.0,"2,114,363","369,150,956","3,932,956,380","3,031,114,430",225.0,486952.0,180.0,"19,469,488",188.0,"40,418,532","27,555",6447136.0,0,2023,7
Strangers,Strangers,Kenya Grace,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,1495758.0,"1,031,447","196,985,853","2,231,749,390","1,745,168,821",163.0,378114.0,113.0,"16,295,286",112.0,"20,228,317","5,331",7477917.0,0,2023,9
Too Sweet,Unreal Unearth: Unheard,Hozier,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,,62123098.0,923733.0,,,,"384,716,227",221.0,151990.0,42.0,"658,517",47.0,"31,032,977","23,005",,0,2024,3
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,837616.0,,"27,811,667","378,313,942","243,895,569",149.0,,58.0,"26,516,005",146.0,"21,453,034","30,180",1707213.0,1,2024,4
Lose Control,Lose Control,Teddy Swims,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,1504385.0,"396,560","49,060,857","597,513,595","4,016,801,205",215.0,605841.0,133.0,"42,675,181",120.0,"253,538,985","72,429",10517831.0,0,2023,6
fukumean,fukumean,Gunna,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,1222012.0,"1,237,229","311,252,391","3,281,790,327","140,623,676",123.0,265291.0,40.0,"2,225,409",88.0,"64,456,799","20,518",3945184.0,1,2023,6
Dance Monkey,Dance Monkey,Tones And I,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,27240268.0,"10,342,366","393,814,740","5,861,939,942","2,428,166,573",549.0,573733.0,584.0,"5,749,770",121.0,"373,294,159","844,198",44842636.0,0,2019,5
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,251373.0,"251,200","71,078,500","443,104,700","148,058,631",247.0,3400.0,67.0,"11,523,335",125.0,"840,442","2,592",285858.0,0,2024,5
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,KRA252300672,42,211.2,170970614.0,27827.0,5784546.0,41.0,22280037.0,334523.0,"14,348,249","948,225,544","12,196,985,599",,2.0,672.0,4.0,"35,737",9.0,"270,610","3,170",,1,2023,4
I'm Good (Blue),I'm Good (Blue),David Guetta,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,4324989.0,"728,093","54,258,768","1,051,836,430","1,425,853,925",285.0,935190.0,207.0,"6,479,623",168.0,"139,926,990","31,235",10973120.0,1,2022,8
Daylight,Daylight,David Kushner,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,3701289.0,"2,557,115","285,329,503","2,578,518,632","1,205,538,057",163.0,259255.0,77.0,"3,413,707",80.0,"28,924,685","14,634",8681350.0,0,2023,4
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,959175.0,"3,648,759","857,220,853","5,469,808,282","298,259,422",91.0,36285.0,63.0,"10,874,749",110.0,"6,151,267","9,160",2682219.0,0,2023,9
Please Please Please,Please Please Please,Sabrina Carpenter,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,1026097.0,,"188,200","1,200,000","110,446,147",199.0,2359.0,73.0,"13,686,074",98.0,"360,163",758,47115.0,1,2024,6
Houdini,Houdini - Single,Dua Lipa,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,1575378.0,"93,500","35,970,610","386,610,043","3,129,834,452",174.0,564640.0,146.0,"28,246,184",127.0,"25,843,941","3,694",2389957.0,0,2023,11
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,921044.0,"13,872,768","390,207,653","5,684,815,935","19,218,089",78.0,92638.0,41.0,"3,467,570",36.0,"7,444,354","7,188",2227494.0,1,2023,2
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,61799279.0,"799,338","78,304,409","1,143,297,071","569,548,901",179.0,121234.0,145.0,"1,977,014",118.0,"266,603,596","2,359,900",19622551.0,0,2017,1
euphoria,euphoria,Kendrick Lamar,USUG12402839,51,202.1,168434320.0,17168.0,62516401.0,86.0,53604746.0,1846535.0,,,,"174,375,427",65.0,6408.0,20.0,"428,378",31.0,"3,156,727","4,843",654482.0,1,2024,4
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,NGA3B2214021,53,198.0,1391688322.0,163876.0,130963116.0,77.0,902742581.0,8099187.0,599,"48,035","2,857,920","750,030,685",316.0,1107265.0,112.0,"11,937,930",146.0,"52,073,859","41,487",3521951.0,0,2022,8
Shape of You,Shape of You,Ed Sheeran,GBAHS1600463,54,195.1,3909458734.0,316378.0,148037882.0,80.0,8013997219.0,45770887.0,"2,270,315","194,420,058","2,320,856,331","2,294,804,623",465.0,402829.0,512.0,"2,710,931",115.0,"733,565,655","651,557",1146246.0,0,2017,1
Blinding Lights,Blinding Lights,The Weeknd,USUG11904206,56,194.0,4281468720.0,590392.0,165544011.0,83.0,833807130.0,10093211.0,"2,882,064","337,322,563","3,501,177,394","2,258,085,924",859.0,1695240.0,564.0,"11,701,129",184.0,"489,299,762","319,634",28994660.0,0,2019,11
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,USUG12208791,57,192.3,1337619917.0,228295.0,64806723.0,80.0,193982443.0,2023998.0,"423,714","148,085,419","1,268,862,678","444,033,037",152.0,952186.0,58.0,"2,134,791",66.0,"77,382,416","28,694",6205060.0,1,2022,12
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,GBUM72205415,60,189.1,1556275789.0,210583.0,95974138.0,74.0,254051906.0,3364206.0,"2,379,787","683,088,623","7,945,975,878","1,524,133,775",203.0,718849.0,63.0,"1,616,564",167.0,"111,398,743","71,335",10192485.0,0,2022,9
Supernova,Supernova,aespa,KRA302400090,63,186.1,69729033.0,2483.0,21046278.0,81.0,111310770.0,1724693.0,"56,600","61,038,623","393,973,528","32,059,104",40.0,709.0,7.0,"544,322",14.0,"45,515",100,63283.0,0,2024,5
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,QM6MZ2214877,64,184.8,1811990630.0,173358.0,67603671.0,79.0,1516863120.0,8870768.0,"4,506,600","549,886,060","6,470,937,272","934,894,575",124.0,77120.0,44.0,"14,871,714",63.0,"111,324,744","39,123",3393920.0,1,2022,5
Calm Down,Calm Down,Rema,NGA3B2214004,66,180.1,584427088.0,182994.0,19203258.0,68.0,1141904909.0,8766235.0,"6,129,450","856,216,952","18,216,656,774","2,952,879,912",138.0,191634.0,53.0,"3,481,756",45.0,"98,290,873","46,039",22563407.0,0,2022,2
CARNIVAL,CARNIVAL,ýý$,QZ7XS2400012,67,179.6,466887055.0,53842.0,103935623.0,84.0,27688666.0,449112.0,,,,"33,817,299",42.0,53333.0,11.0,"199,915",29.0,"1,359,484","11,303",1982000.0,1,2024,2
Kill Bill,SOS,SZA,USRC12204584,68,177.7,1873746537.0,190202.0,99546318.0,82.0,220538045.0,3153793.0,"266,430","152,410,048","1,284,413,960","426,461,749",214.0,655242.0,73.0,"1,304,067",122.0,"57,350,590","61,270",4873832.0,0,2022,12
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,USUM72307484,69,177.6,891720245.0,114560.0,97542546.0,82.0,144741616.0,2761964.0,"1,443,103","498,822,693","3,998,086,216","1,384,310,160",168.0,275119.0,108.0,"10,920,686",111.0,"39,374,594","19,921",4476509.0,0,2023,7
Heat Waves,Heat Waves,Glass Animals,GBUM72000433,71,175.0,2996181078.0,486278.0,112416489.0,82.0,1272898075.0,14947520.0,"1,416,295","513,334,446","5,518,429,969","4,899,313,022",459.0,1414326.0,170.0,"11,862,378",95.0,"122,247,640","160,431",17848778.0,0,2020,6
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,UYB282301031,73,174.3,946941510.0,100130.0,74836321.0,74.0,776436101.0,12951756.0,"4,210,895","797,017,650","11,936,401,096","457,987,382",110.0,165670.0,106.0,"4,971,379",92.0,"48,806,666","10,225",2237762.0,0,2023,1
Old Town Road,Old Town Road,Lil Nas X,USSM11901941,75,170.3,1010494713.0,127393.0,18652312.0,67.0,3203314695.0,41487213.0,"5,757,883","187,301,054","1,981,431,049","939,714,925",63.0,49780.0,64.0,"397,418",100.0,"181,784,010","2,022,074",8856633.0,0,2019,3
un x100to,un x100to,Grupo Frontera,QM6N22311285,76,170.2,1008495696.0,99381.0,57394938.0,75.0,878892413.0,4425283.0,"796,603","127,651,887","1,669,065,906","1,522,934,425",101.0,73481.0,42.0,"5,734,172",81.0,"55,857,743","15,528",2283747.0,0,2023,4
Sprinter,Sprinter - Single,Dave,GBUM72305159,78,168.1,692512930.0,199828.0,55464762.0,78.0,219666692.0,2332307.0,"731,797","130,560,533","1,254,944,697","918,145,630",155.0,42082.0,41.0,"1,790,031",76.0,"411,656","3,414",3093667.0,1,2023,6
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,USUM72401988,79,167.8,169410711.0,11028.0,144854768.0,90.0,19402457.0,997411.0,284,,,"260,377,114",185.0,1008.0,53.0,"20,737,850",59.0,"521,322",698,388625.0,0,2024,5
TQG,TQG,KAROL G,USUM72222541,80,167.8,1024381758.0,78554.0,69319589.0,78.0,1102289596.0,8953293.0,"457,111","15,048,444","248,168,852","1,174,053,183",138.0,149584.0,84.0,"8,850,320",131.0,"68,022,934","16,511",3488226.0,1,2023,2
Perfect,ýý (Deluxe),Ed Sheeran,GBAHS1700024,81,167.5,2969999682.0,280165.0,116921604.0,81.0,6473698897.0,39632673.0,"6,642,975","601,244,764","7,647,479,866","1,708,317,539",208.0,263386.0,343.0,"1,242,581",102.0,"617,483,078","595,052",,0,2017,3
Pepas,Pepas,Farruko,USSD12100307,82,167.3,1500499584.0,359502.0,125112486.0,74.0,1431591689.0,11553088.0,"2,866,181","290,811,371","4,067,248,819","782,475,986",258.0,240677.0,137.0,"4,015,523",102.0,"120,046,948","89,582",17210946.0,1,2021,6
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,USE7D2300007,84,166.5,1215336974.0,129463.0,39814172.0,74.0,701880622.0,3831236.0,"5,416","550,073","15,373,104","546,259,059",83.0,40153.0,24.0,"4,946,338",61.0,"84,378,219","53,890",3435177.0,0,2023,3
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,USAT22305457,85,166.2,860026452.0,74769.0,139913794.0,80.0,173044031.0,1640319.0,"175,536","90,924,917","1,227,837,850","1,205,266,954",7.0,759185.0,82.0,"4,067,956",,"64,567,514","22,064",3199636.0,0,2023,5
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,MXF152300159,86,164.9,1032225805.0,94887.0,74469479.0,79.0,920878032.0,3118229.0,"1,031,612","116,003,972","2,416,141,351","1,690,231,413",83.0,57941.0,42.0,"3,360,878",48.0,"55,410,702","27,415",2635577.0,1,2023,3
redrum,american dream,21 Savage,USSM12309164,87,164.8,428233003.0,57311.0,144298748.0,,105148629.0,1762297.0,"87,200","6,732,800","43,993,800","977,638,660",74.0,102457.0,48.0,"4,037,475",60.0,"16,802,867","11,821",2490071.0,1,2024,1
Easy On Me,Easy On Me,Adele,USSM12105970,88,163.2,1720918065.0,209635.0,93875458.0,73.0,1194846205.0,13561925.0,"1,912,194","733,101,955","7,860,224,413","6,353,555,150",325.0,774277.0,257.0,"5,323,750",100.0,"203,324,731","126,594",7569155.0,0,2021,10
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,QM6MZ2214878,89,163.1,1514239759.0,190692.0,77283361.0,77.0,1366181141.0,9358441.0,"1,769,068","475,656,543","5,249,863,696","488,048,337",150.0,145640.0,44.0,"5,591,928",108.0,"69,095,169","81,914",5133847.0,1,2022,5
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,USQX92302957,90,162.0,333202114.0,108322.0,41018697.0,68.0,203487345.0,2084532.0,"928,132","63,253,779","748,253,884","735,908,540",148.0,346411.0,30.0,"1,277,729",60.0,"90,114,807","46,789",4207535.0,1,2023,5
Anti-Hero,Midnights,Taylor Swift,USUG12205736,91,161.8,1563224246.0,117005.0,97456780.0,80.0,203259285.0,3482508.0,"1,302,967","376,660,493","3,864,505,972","724,976,542",261.0,1034319.0,74.0,"4,457,357",150.0,"92,338,994","45,974",4703179.0,0,2022,10
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,UYB282201028,92,161.7,1692951462.0,209490.0,88591675.0,78.0,1132539234.0,8795731.0,"1,212,100","196,608,777","2,054,826,154","56,677,146",99.0,138254.0,58.0,"5,211,955",65.0,"18,052,815","5,213",6836893.0,0,2022,7
Magnetic,SUPER REAL ME,ILLIT,USA2P2413259,93,161.0,255076355.0,11500.0,90584540.0,86.0,202206901.0,2596912.0,,"57,656,713","506,476,590","273,521,596",67.0,4716.0,9.0,"423,666",44.0,"220,481","1,207",659825.0,0,2024,3
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,USSD12300307,94,158.2,275349653.0,37806.0,22826643.0,70.0,347506860.0,1553295.0,"4,349,700","321,239,621","4,767,676,439","2,676,837,761",19.0,23875.0,37.0,"3,780,737",29.0,"5,101,044","5,276",1245874.0,1,2023,7
La Diabla,La Diabla - Single,Xavi,USA2P2357356,95,155.9,649404552.0,27544.0,47789063.0,83.0,433839212.0,2750086.0,,"414,833","10,603,563","1,795,939,912",29.0,16287.0,34.0,"16,509,806",26.0,"22,603,598","29,401",1380069.0,0,2023,12
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,GBAYE2300015,96,153.6,851085705.0,129047.0,50996176.0,70.0,211810152.0,2461166.0,"3,502,547","955,272,568","8,781,020,473","806,434,641",162.0,223173.0,65.0,"8,655,684",130.0,"10,207,007","36,847",2580691.0,1,2023,2
Snooze,SOS,SZA,USRC12204591,97,153.3,1013350808.0,108036.0,86470319.0,84.0,390677417.0,2521214.0,"402,338","97,819,766","887,803,828","560,893,301",154.0,559589.0,60.0,"2,707,900",61.0,"74,611,167","85,113",3129609.0,1,2022,12
BELLAKEO,BELLAKEO,Peso Pluma,QMFMF2388143,98,153.1,359803580.0,26065.0,79152427.0,86.0,369321334.0,1839225.0,"720,800","74,164,945","874,056,250","4,123,457,278",40.0,16952.0,63.0,"18,139,662",51.0,"20,058,510","7,289",1002835.0,1,2023,12
Agora Hills,Scarlet,Doja Cat,USRC12301954,99,152.8,509653100.0,66219.0,67521533.0,,48045203.0,986278.0,"328,562","88,846,508","544,437,406","1,561,456,615",80.0,400206.0,78.0,"9,341,155",39.0,"23,110,274","19,559",4295361.0,1,2023,9
Prada,Prada,cassï¿,GBCEN2300147,100,152.5,609699748.0,128498.0,160755092.0,83.0,47611547.0,418343.0,"283,600","96,934,486","1,090,501,901","113,545,664",129.0,123242.0,167.0,"15,480,679",100.0,"1,210,830","1,073",,1,2023,8
Lil Boo Thang,Lil Boo Thang,Paul Russell,USAR12300323,102,152.1,242070373.0,37170.0,74130983.0,76.0,22907992.0,261664.0,"2,553,106","312,997,953","3,832,221,658","15,593,731",106.0,370635.0,69.0,"1,792,014",79.0,"84,425,715","30,713",2219984.0,0,2023,8
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,QMFME2364182,103,150.7,478150858.0,73306.0,51842133.0,78.0,113379734.0,1312763.0,"1,700,998","182,319,546","2,111,289,492","90,954,700",78.0,35330.0,56.0,"15,784,760",53.0,"17,823,388","12,664",2255465.0,1,2023,10
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,USSM12002399,104,150.5,61382407.0,7240.0,1708319.0,43.0,9977490.0,201210.0,"37,726,462","9,239,474","147,837,262",,15.0,10152.0,5.0,"59,317",1.0,,,3819161.0,0,2020,4
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,GBBKS2300080,105,150.4,460156070.0,163449.0,127827271.0,77.0,8183226.0,98257.0,"530,103","65,920,648","1,032,799,567","56,004,473",,195140.0,102.0,"3,034,022",111.0,"1,132,923","1,312",9279625.0,0,2023,6
Training Season,Training Season,Dua Lipa,GBAHT2301078,106,148.9,251153869.0,16811.0,92985554.0,76.0,66691067.0,961957.0,"102,884","34,572,688","431,390,500","2,120,552,147",162.0,180711.0,127.0,"33,540,073",116.0,"10,305,245","3,796",2047771.0,0,2024,2
Type Shit,WE DON'T TRUST YOU,Future,USSM12402033,107,148.1,205206688.0,28064.0,84737651.0,84.0,39453253.0,672789.0,,,,"232,440,923",99.0,3432.0,41.0,"2,943,724",47.0,"5,897,303","4,527",900933.0,1,2024,3
Armageddon,Armageddon - The 1st Album,aespa,KRA302400093,108,147.4,32942304.0,1262.0,26204483.0,74.0,57861795.0,1257935.0,,,,"29,510,774",37.0,290.0,5.0,"530,831",33.0,"21,869",48,29736.0,0,2024,5
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,USAT21906978,109,146.6,1911559785.0,317345.0,87765033.0,78.0,441257231.0,4829633.0,"4,930,490","561,201,008","4,574,447,121","2,077,511",255.0,296948.0,138.0,"555,650",28.0,"295,741,432","633,414",11988760.0,1,2019,12
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,USSM12104539,110,145.3,2014959725.0,354831.0,87942438.0,70.0,1003346208.0,16856186.0,"1,750,366","915,814,897","9,558,947,943","3,191,316,960",360.0,245228.0,109.0,"3,242,122",74.0,"75,167,268","96,430",12693846.0,1,2021,7
Pedro,Pedro - Single,Jaxomy,DEE862400427,111,144.6,168145583.0,27654.0,159737263.0,85.0,35008949.0,717214.0,,,,"39,149,568",107.0,4448.0,158.0,"16,345,999",54.0,"39,577",482,2408838.0,0,2024,3
Fast Car,Gettin' Old,Luke Combs,US6XF2200436,112,144.5,518988585.0,73116.0,58391498.0,80.0,107703759.0,768813.0,"354,036","74,258,021","924,204,888","103,658,014",117.0,673629.0,67.0,"8,306,302",104.0,"184,924,061","88,890",3108167.0,0,2023,3
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,JPU902305042,113,144.0,247399972.0,22222.0,13870528.0,80.0,389540239.0,4392933.0,,"22,950,364","296,522,040","1,041,035,733",53.0,807.0,18.0,"357,941",17.0,"537,267","1,928",1069500.0,0,2024,1
Aesthetic,Aesthetic,Tollan Kim,SGB502208576,114,144.0,5712985.0,2311.0,535908.0,44.0,3120073.0,56276.0,"20,114,495","2,452,502,310","33,870,791,454",,4.0,22.0,4.0,"1,397",1.0,"21,564",81,249823.0,0,2022,3
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,USUM71814888,116,143.9,3358704125.0,392082.0,123917182.0,79.0,2763188773.0,19410390.0,"2,714,134","178,829,434","1,597,453,878","484,189,798",351.0,273683.0,86.0,"809,352",99.0,"546,367,356","906,813",1569935.0,0,2018,10
Saturn,Saturn - Single,SZA,USRC12400216,117,142.8,343090427.0,21104.0,154253718.0,87.0,38173339.0,349660.0,,,,"196,380,893",120.0,158378.0,103.0,"10,995,523",87.0,"11,441,987","7,496",745798.0,0,2024,2
